id;wb_1;wb_2;wb_3;wb_4;wb_5;wb_6;wb_7;wb_8;wb_9;wb_10;wb_11;wb_12;wb_13;wb_14;stress_1;stress_2;stress_3;stress_4;stress_5;stress_6;stress_7;soc_1;soc_2;soc_3;soc_4;soc_5;soc_6;soc_7;soc_8;soc_9;soc_10;soc_11;soc_12;soc_13;sonc_1;sonc_2;sonc_3;sonc_4;sonc_5;sonc_6;sonc_7;sonc_8;trust_media;trust_court;trust_police;trust_pm;trust_gov;trust_econ;trust_health;trust_hospital;trust_edu;trust_localgov;trust_relig;support_family;support_community;support_virtual;support_gov;support_work;support_relig;support_friends;gender;age;age_1;soc;sonc;wb;trust;support;mh;edu - dummy;edu;stress
1;6;6;5;3;3;3;4;2;4;4;5;5;4;5;1;1;2;1;1;1;1;5;6;5;6;6;2;5;4;3;4;3;5;5;3;3;3;4;4;4;4;2;3;4;3;1;2;2;2;5;2;4;3;5;3;5;2;3;4;5;2;1993;28;4.538461538;3.375;4.214285714;2.818181818;3.857142857;1.769230769;5;tertiary;8
2;5;5;4;4;4;5;5;4;5;5;4;4;4;5;1;1;1;1;0;2;1;6;4;6;5;3;5;6;5;5;5;4;6;3;3;2;3;5;4;4;3;6;3;4;4;3;3;3;3;4;3;3;3;4;4;3;3;1;;4;1;1991;30;4.846153846;3.75;4.5;3.272727273;3.166666667;1.692307692;6;tertiary;7
3;2;4;1;3;6;1;4;1;5;1;2;5;5;5;3;2;3;2;1;1;1;6;6;6;6;3;6;4;5;3;3;4;5;6;2;1;2;2;3;3;3;5;4;4;2;2;2;2;3;5;3;;2;3;1;3;2;;;4;1;2000;21;4.846153846;2.625;3.214285714;2.9;2.6;2.769230769;4;secondary;13
4;4;4;4;2;3;2;3;2;3;3;5;3;2;2;1;1;1;0;0;1;1;3;5;5;2;6;5;3;3;5;5;5;2;5;3;4;5;5;3;3;3;5;3;5;4;3;3;3;3;4;3;3;3;4;3;3;2;;3;4;2;1999;22;4.153846154;3.875;3;3.363636364;3.166666667;1.846153846;4;secondary;5
5;4;5;5;2;6;4;5;2;5;3;5;5;4;3;3;1;2;1;1;0;1;5;4;3;4;6;5;5;3;2;4;4;3;4;2;1;3;3;4;3;3;1;4;;2;2;3;2;3;4;2;;1;5;3;3;1;1;3;5;2;2000;21;4;2.5;4.142857143;2.555555556;3;1.923076923;4;secondary;9
6;5;5;5;4;2;3;4;5;5;5;5;5;5;5;1;1;1;1;1;1;1;6;5;6;7;5;5;5;6;6;6;5;7;6;3;4;3;4;4;4;4;5;3;2;4;3;3;3;4;5;4;3;3;5;5;3;4;4;;5;2;1966;55;5.769230769;3.875;4.5;3.363636364;4.333333333;1.692307692;6;tertiary;7
7;4;5;5;4;6;2;3;3;4;4;4;4;5;6;3;1;0;1;0;3;0;7;3;6;7;2;6;5;4;4;5;4;6;3;3;5;2;5;3;3;3;5;4;5;4;1;2;1;3;5;2;5;4;5;2;2;1;3;;5;2;1992;29;4.769230769;3.625;4.214285714;3.272727273;3;1.846153846;6;tertiary;8
8;3;5;5;3;5;4;5;5;5;6;6;5;4;6;3;3;3;2;2;3;3;6;5;6;7;7;4;6;4;5;5;6;6;5;3;4;4;6;5;5;3;5;3;4;4;1;1;1;1;5;1;3;1;5;2;3;1;5;;4;2;1987;34;5.538461538;4.375;4.785714286;2.272727273;3.333333333;2.769230769;4;secondary;19
9;5;5;4;6;6;2;4;2;5;6;4;5;6;6;2;1;1;0;0;2;1;7;6;5;6;6;7;6;6;6;6;6;7;7;2;2;5;6;5;6;2;4;3;3;3;1;1;1;1;5;1;4;;5;3;3;2;4;;;1;1963;58;6.230769231;4;4.714285714;2.3;3.4;2.769230769;3;primary;7
10;6;6;6;2;2;2;3;1;6;6;6;6;4;6;1;1;1;1;0;1;1;7;3;3;7;4;7;6;6;7;6;4;7;7;4;2;4;3;4;4;5;5;2;2;2;1;2;1;1;5;1;2;1;5;4;1;1;4;1;4;2;1964;57;5.692307692;3.875;4.428571429;1.818181818;2.857142857;1.615384615;6;tertiary;6
11;5;5;5;2;2;4;5;2;5;5;5;4;4;6;2;1;1;1;1;1;1;6;6;5;5;5;4;7;5;2;3;5;4;4;4;6;4;4;4;4;3;5;1;2;2;1;2;1;1;4;4;3;2;5;5;3;2;2;2;5;2;1989;32;4.692307692;4.25;4.214285714;2.090909091;3.428571429;1.923076923;5;tertiary;8
12;5;5;5;2;1;1;1;1;5;4;4;4;5;5;1;1;1;1;2;1;1;3;5;6;5;5;4;1;3;3;4;5;3;3;3;4;3;2;4;3;2;4;2;5;4;1;1;1;1;5;1;;1;3;1;1;2;4;1;2;1;1995;26;3.846153846;3.125;3.428571429;2.2;2;2.230769231;5;tertiary;8
13;5;5;5;5;5;4;5;5;5;5;5;5;5;5;1;0;1;1;0;0;0;4;3;3;5;6;6;4;4;4;4;5;4;5;3;3;5;5;5;4;4;6;2;2;2;2;2;2;2;4;2;2;1;4;4;3;3;4;1;5;2;1995;26;4.384615385;4.375;4.928571429;2.090909091;3.428571429;1.615384615;5;tertiary;3
14;5;6;5;2;6;3;4;3;4;4;5;5;5;5;1;1;1;1;1;1;1;1;3;4;6;7;6;5;7;6;4;4;7;6;3;7;2;4;7;4;3;4;1;2;4;;;;4;4;;1;1;5;3;;3;;;5;2;1943;78;5.076923077;4.25;4.428571429;2.428571429;4;1.923076923;6;tertiary;7
15;4;6;6;5;6;5;6;5;5;4;5;6;3;6;1;1;2;1;0;1;1;7;3;5;7;2;4;1;6;2;3;5;7;4;2;2;4;5;4;5;4;6;2;4;3;1;2;2;2;5;3;5;3;5;4;4;2;4;;5;2;1960;61;4.307692308;4;5.142857143;2.909090909;4;1.846153846;6;tertiary;7
16;5;6;5;4;5;4;6;3;5;6;6;5;6;5;1;1;1;2;2;2;1;6;4;4;5;5;7;6;4;3;4;4;6;6;2;4;1;3;3;4;3;3;2;3;3;1;2;2;2;5;2;2;;5;5;4;1;3;;5;2;1983;38;4.923076923;2.875;5.071428571;2.4;3.833333333;2.307692308;6;tertiary;10
